NIM,Nilai
24106050001,48.0
24106050002,55.22
24106050003,89.11
24106050004,98.12
24106050005,65.59
24106050006,45.18
24106050007,60.74
24106050008,52.6
24106050009,69.65
24106050010,52.81
24106050011,44.53
24106050012,48.59
24106050013,60.65
24106050014,99.46
24106050015,79.01
24106050016,77.37
24106050017,91.87
24106050018,47.84
24106050019,92.17
24106050020,72.29
24106050021,98.32
24106050022,97.41
24106050023,69.66
24106050024,73.54
24106050025,55.78
24106050026,46.44
24106050027,87.04
24106050028,94.95
24106050029,42.25
24106050030,80.88
24106050031,95.14
24106050032,44.33
24106050033,43.22
24106050034,79.62
24106050035,59.69
24106050036,66.07
24106050037,87.95
24106050038,98.82
24106050039,51.57
24106050040,84.74
24106050041,84.86
24106050042,51.46
24106050043,77.73
24106050044,48.62
24106050045,91.5
24106050046,90.32
24106050047,61.57
24106050048,84.88
24106050049,77.79
24106050050,60.08
24106050051,82.33
24106050052,44.66
24106050053,50.05
24106050054,73.38
24106050055,81.26
24106050056,91.6
24106050057,55.14
24106050058,93.81
24106050059,47.16
24106050060,50.58
24106050061,53.62
24106050062,47.16
24106050063,97.34
24106050064,89.66
24106050065,61.02
24106050066,41.44
24106050067,69.72
24106050068,67.66
24106050069,71.78
24106050070,44.01
24106050071,71.76
24106050072,91.46
24106050073,48.41
24106050074,68.4
24106050075,99.6
24106050076,66.86
24106050077,73.47
24106050078,77.01
24106050079,92.66
24106050080,70.7
24106050081,93.56
24106050082,94.11
24106050083,96.95
24106050084,92.11
24106050085,66.48
24106050086,65.37
24106050087,61.62
24106050088,87.49
24106050089,92.52
24106050090,83.7
24106050091,94.66
24106050092,74.7
24106050093,62.09
24106050094,60.02
24106050095,90.3
24106050096,52.75
24106050097,90.48
24106050098,84.44
24106050099,56.65
24106050100,61.21
